Date,Time,Lock Option,Number of Threads,No. of Links Visited
2022-28-05,08.55.21AM,Semaphorelock,1,30528
2022-28-05,08.55.25AM,Semaphorelock,1,30528
2022-28-05,08.55.29AM,Semaphorelock,1,31142
2022-28-05,08.55.32AM,Semaphorelock,1,32002
2022-28-05,08.55.36AM,Semaphorelock,1,30744
2022-28-05,08.55.40AM,Semaphorelock,1,30802
2022-28-05,08.55.43AM,Semaphorelock,1,30964
2022-28-05,08.55.47AM,Semaphorelock,1,30752
2022-28-05,08.55.51AM,Semaphorelock,1,30602
2022-28-05,08.55.54AM,Semaphorelock,1,32122
2022-28-05,08.55.58AM,Semaphorelock,1,31330
2022-28-05,08.56.02AM,Semaphorelock,1,30528
2022-28-05,08.56.06AM,Semaphorelock,1,30792
2022-28-05,08.56.09AM,Semaphorelock,1,31252
2022-28-05,08.56.13AM,Semaphorelock,1,30702
2022-28-05,08.56.17AM,Semaphorelock,1,31402
2022-28-05,08.56.20AM,Semaphorelock,1,31052
2022-28-05,08.56.24AM,Semaphorelock,1,31702
2022-28-05,08.56.28AM,Semaphorelock,1,31602
2022-28-05,08.56.31AM,Semaphorelock,1,31452
2022-28-05,08.56.35AM,Semaphorelock,1,31852
2022-28-05,08.56.39AM,Monitorlock,2,36202
2022-28-05,08.56.42AM,Monitorlock,2,34552
2022-28-05,08.56.46AM,Monitorlock,2,35302
2022-28-05,08.56.50AM,Monitorlock,2,35202
2022-28-05,08.56.53AM,Monitorlock,2,35952
2022-28-05,08.56.57AM,Monitorlock,2,36402
2022-28-05,08.57.01AM,Monitorlock,2,35752
2022-28-05,08.57.05AM,Monitorlock,2,35402
2022-28-05,08.57.08AM,Monitorlock,2,34972
2022-28-05,08.57.12AM,Monitorlock,2,34802
2022-28-05,08.57.16AM,Monitorlock,2,35422
2022-28-05,08.57.19AM,Monitorlock,2,35602
2022-28-05,08.57.23AM,Monitorlock,2,36152
2022-28-05,08.57.27AM,Monitorlock,2,35372
2022-28-05,08.57.30AM,Monitorlock,2,35702
2022-28-05,08.57.34AM,Monitorlock,2,34822
2022-28-05,08.57.38AM,Monitorlock,2,35402
2022-28-05,08.57.41AM,Monitorlock,2,34922
2022-28-05,08.57.45AM,Monitorlock,2,36002
2022-28-05,08.57.49AM,Monitorlock,2,36102
2022-28-05,08.57.52AM,Monitorlock,2,35522
2022-28-05,08.57.56AM,Lockfree,3,1505
2022-28-05,08.58.00AM,Lockfree,3,1392
2022-28-05,08.58.04AM,Lockfree,3,1448
2022-28-05,08.58.07AM,Lockfree,3,1550
2022-28-05,08.58.11AM,Lockfree,3,1485
2022-28-05,08.58.15AM,Lockfree,3,1549
2022-28-05,08.58.19AM,Lockfree,3,1469
2022-28-05,08.58.22AM,Lockfree,3,1547
2022-28-05,08.58.26AM,Lockfree,3,1531
2022-28-05,08.58.30AM,Lockfree,3,1426
2022-28-05,08.58.33AM,Lockfree,3,1672
2022-28-05,08.58.37AM,Lockfree,3,1431
2022-28-05,08.58.41AM,Lockfree,3,1513
2022-28-05,08.58.45AM,Lockfree,3,1386
2022-28-05,08.58.48AM,Lockfree,3,1565
2022-28-05,08.58.52AM,Lockfree,3,1403
2022-28-05,08.58.56AM,Lockfree,3,1525
2022-28-05,08.59.00AM,Lockfree,3,1509
2022-28-05,08.59.03AM,Lockfree,3,1332
2022-28-05,08.59.07AM,Lockfree,3,1484
2022-28-05,08.59.11AM,Lockfree,3,1496
2022-28-05,08.59.14AM,Semaphorelock,4,34422
2022-28-05,08.59.18AM,Semaphorelock,4,33918
2022-28-05,08.59.22AM,Semaphorelock,4,34082
2022-28-05,08.59.25AM,Semaphorelock,4,33492
2022-28-05,08.59.29AM,Semaphorelock,4,34002
2022-28-05,08.59.33AM,Semaphorelock,4,33702
2022-28-05,08.59.37AM,Semaphorelock,4,34302
2022-28-05,08.59.40AM,Semaphorelock,4,34552
2022-28-05,08.59.44AM,Semaphorelock,4,34682
2022-28-05,08.59.48AM,Semaphorelock,4,33462
2022-28-05,08.59.51AM,Semaphorelock,4,33752
2022-28-05,08.59.55AM,Semaphorelock,4,33662
2022-28-05,08.59.59AM,Semaphorelock,4,34122
2022-28-05,09.00.02AM,Semaphorelock,4,33972
2022-28-05,09.00.06AM,Semaphorelock,4,34193
2022-28-05,09.00.10AM,Semaphorelock,4,33802
2022-28-05,09.00.14AM,Semaphorelock,4,33942
