Date,Time,Lock Option,Number of Threads,No. of Links Visited
2022-28-05,03.05.48PM,Monitorlock,1,30540
2022-28-05,03.05.52PM,Monitorlock,1,31052
2022-28-05,03.05.55PM,Monitorlock,1,30072
2022-28-05,03.05.59PM,Monitorlock,1,30539
2022-28-05,03.06.03PM,Monitorlock,1,30302
2022-28-05,03.06.07PM,Monitorlock,1,30302
2022-28-05,03.06.10PM,Monitorlock,1,30952
2022-28-05,03.06.14PM,Monitorlock,1,30539
2022-28-05,03.06.25PM,Lockfree,1,306
2022-28-05,03.06.29PM,Semaphorelock,1,28478
2022-28-05,03.06.32PM,Monitorlock,1,30702
2022-28-05,03.06.36PM,Lockfree,1,327
2022-28-05,03.06.40PM,Semaphorelock,1,30202
2022-28-05,03.06.44PM,Monitorlock,1,30540
2022-28-05,03.06.47PM,Lockfree,1,296
2022-28-05,03.06.51PM,Semaphorelock,1,29123
2022-28-05,03.06.55PM,Monitorlock,1,30540
2022-28-05,03.06.58PM,Lockfree,1,309
2022-28-05,03.07.02PM,Semaphorelock,1,29502
2022-28-05,03.07.06PM,Monitorlock,1,30539
2022-28-05,03.07.10PM,Lockfree,1,294
2022-28-05,03.07.13PM,Semaphorelock,1,29352
2022-28-05,03.07.17PM,Monitorlock,1,30552
2022-28-05,03.07.21PM,Lockfree,3,698
2022-28-05,03.07.24PM,Semaphorelock,3,32572
2022-28-05,03.07.28PM,Monitorlock,3,34442
2022-28-05,03.07.32PM,Lockfree,3,699
2022-28-05,03.07.36PM,Semaphorelock,3,32752
2022-28-05,03.07.39PM,Monitorlock,3,34432
2022-28-05,03.07.43PM,Lockfree,3,639
2022-28-05,03.07.47PM,Semaphorelock,3,32592
2022-28-05,03.07.50PM,Monitorlock,3,34429
2022-28-05,03.07.54PM,Lockfree,3,680
2022-28-05,03.07.58PM,Semaphorelock,3,32572
2022-28-05,03.08.02PM,Monitorlock,3,34391
2022-28-05,03.08.05PM,Lockfree,3,714
2022-28-05,03.08.09PM,Semaphorelock,3,32566
2022-28-05,03.08.13PM,Monitorlock,3,34802
2022-28-05,03.08.17PM,Lockfree,5,984
2022-28-05,03.08.20PM,Semaphorelock,5,30784
2022-28-05,03.08.24PM,Monitorlock,5,33032
2022-28-05,03.08.28PM,Lockfree,5,928
2022-28-05,03.08.31PM,Semaphorelock,5,31402
2022-28-05,03.08.35PM,Monitorlock,5,32812
2022-28-05,03.08.39PM,Lockfree,5,954
2022-28-05,03.08.42PM,Semaphorelock,5,30972
2022-28-05,03.08.46PM,Monitorlock,5,33162
2022-28-05,03.08.50PM,Lockfree,5,1004
2022-28-05,03.08.54PM,Semaphorelock,5,30982
2022-28-05,03.08.57PM,Monitorlock,5,32432
2022-28-05,03.09.01PM,Lockfree,5,1014
2022-28-05,03.09.05PM,Semaphorelock,5,30602
2022-28-05,03.09.08PM,Monitorlock,5,33069
2022-28-05,03.09.12PM,Lockfree,7,1190
2022-28-05,03.09.16PM,Semaphorelock,7,30296
2022-28-05,03.09.20PM,Monitorlock,7,31831
2022-28-05,03.09.23PM,Lockfree,7,1134
2022-28-05,03.09.27PM,Semaphorelock,7,30141
2022-28-05,03.09.31PM,Monitorlock,7,32362
2022-28-05,03.09.34PM,Lockfree,7,1220
2022-28-05,03.09.38PM,Semaphorelock,7,30362
2022-28-05,03.09.42PM,Monitorlock,7,32236
2022-28-05,03.09.46PM,Lockfree,7,1203
2022-28-05,03.09.49PM,Semaphorelock,7,30396
2022-28-05,03.09.53PM,Monitorlock,7,31833
2022-28-05,03.09.57PM,Lockfree,7,1181
2022-28-05,03.10.01PM,Semaphorelock,7,30652
2022-28-05,03.10.04PM,Monitorlock,7,32179
2022-28-05,03.10.08PM,Lockfree,9,1424
2022-28-05,03.10.12PM,Semaphorelock,9,29462
2022-28-05,03.10.15PM,Monitorlock,9,31312
2022-28-05,03.10.19PM,Lockfree,9,1517
2022-28-05,03.10.23PM,Semaphorelock,9,29709
2022-28-05,03.10.26PM,Monitorlock,9,30904
2022-28-05,03.10.30PM,Lockfree,9,1437
2022-28-05,03.10.34PM,Semaphorelock,9,29343
2022-28-05,03.10.38PM,Monitorlock,9,31261
2022-28-05,03.10.41PM,Lockfree,9,1284
2022-28-05,03.10.45PM,Semaphorelock,9,29402
2022-28-05,03.10.49PM,Monitorlock,9,31062
2022-28-05,03.10.52PM,Lockfree,9,1406
2022-28-05,03.10.56PM,Semaphorelock,9,29772
2022-28-05,03.11.00PM,Monitorlock,9,31394
2022-28-05,03.11.04PM,Lockfree,11,1526
2022-28-05,03.11.07PM,Semaphorelock,11,28955
2022-28-05,03.11.11PM,Monitorlock,11,30218
2022-28-05,03.11.15PM,Lockfree,11,1583
2022-28-05,03.11.19PM,Semaphorelock,11,29123
2022-28-05,03.11.22PM,Monitorlock,11,30330
2022-28-05,03.11.26PM,Lockfree,11,1378
2022-28-05,03.11.30PM,Semaphorelock,11,29190
2022-28-05,03.11.33PM,Monitorlock,11,30521
2022-28-05,03.11.37PM,Lockfree,11,1491
2022-28-05,03.11.41PM,Semaphorelock,11,29111
2022-28-05,03.11.45PM,Monitorlock,11,30513
2022-28-05,03.11.48PM,Lockfree,11,1291
2022-28-05,03.11.52PM,Semaphorelock,11,28695
2022-28-05,03.11.56PM,Monitorlock,11,30260
2022-28-05,03.11.59PM,Lockfree,13,1370
2022-28-05,03.12.03PM,Semaphorelock,13,28688
2022-28-05,03.12.07PM,Monitorlock,13,29270
2022-28-05,03.12.11PM,Lockfree,13,1555
2022-28-05,03.12.14PM,Semaphorelock,13,28615
2022-28-05,03.12.18PM,Monitorlock,13,29431
2022-28-05,03.12.22PM,Lockfree,13,1438
2022-28-05,03.12.25PM,Semaphorelock,13,28248
2022-28-05,03.12.29PM,Monitorlock,13,29319
2022-28-05,03.12.33PM,Lockfree,13,1495
2022-28-05,03.12.37PM,Semaphorelock,13,28788
2022-28-05,03.12.40PM,Monitorlock,13,29390
2022-28-05,03.12.44PM,Lockfree,13,1489
2022-28-05,03.12.48PM,Semaphorelock,13,28544
2022-28-05,03.12.51PM,Monitorlock,13,29407
2022-28-05,03.12.55PM,Lockfree,15,1460
2022-28-05,03.12.59PM,Semaphorelock,15,28429
